"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","30-Mar-2017","        626.75","        628.80","        633.60","        622.00","        624.85","        622.95","        627.95","    1482125","           930695473.60","      36531","     635907","         42.91"
"DIVISLAB","EQ","31-Mar-2017","        622.95","        625.50","        629.50","        622.55","        623.10","        623.85","        625.52","     943936","           590450610.45","      27762","     420729","         44.57"
"DIVISLAB","EQ","03-Apr-2017","        623.85","        628.00","        629.90","        625.30","        627.15","        627.30","        627.99","    1394464","           875708230.85","      21809","     818094","         58.67"
"DIVISLAB","EQ","05-Apr-2017","        627.30","        629.85","        638.65","        627.95","        633.30","        631.75","        634.29","    1845745","          1170742804.00","      42632","     966062","         52.34"
"DIVISLAB","EQ","06-Apr-2017","        631.75","        632.85","        635.90","        626.00","        627.85","        628.15","        629.35","     944868","           594649504.05","      29948","     417780","         44.22"
"DIVISLAB","EQ","07-Apr-2017","        628.15","        628.10","        632.95","        619.05","        622.30","        622.05","        625.61","    1103003","           690052421.75","      29089","     540109","         48.97"
"DIVISLAB","EQ","10-Apr-2017","        622.05","        656.00","        661.00","        642.20","        655.50","        658.10","        652.02","    5746326","          3746732953.35","      99748","    1858177","         32.34"
"DIVISLAB","EQ","11-Apr-2017","        658.10","        661.80","        664.15","        655.05","        657.50","        659.00","        660.39","    1917078","          1266009592.30","      54300","     959548","         50.05"
"DIVISLAB","EQ","12-Apr-2017","        659.00","        658.90","        659.75","        642.00","        651.40","        650.70","        649.32","    1243019","           807115295.05","      29875","     545237","         43.86"
"DIVISLAB","EQ","13-Apr-2017","        650.70","        651.05","        656.00","        646.30","        649.00","        648.90","        650.94","     839170","           546247333.80","      21539","     315068","         37.55"
"DIVISLAB","EQ","17-Apr-2017","        648.90","        650.00","        654.50","        638.10","        639.00","        639.90","        644.42","    1080488","           696288627.70","      24747","     478786","         44.31"
"DIVISLAB","EQ","18-Apr-2017","        639.90","        641.90","        647.00","        631.00","        632.00","        632.15","        639.49","     847780","           542149127.90","      22295","     303945","         35.85"
"DIVISLAB","EQ","19-Apr-2017","        632.15","        634.20","        637.20","        632.00","        633.00","        633.35","        633.49","     543978","           344603553.45","      16248","     272897","         50.17"
